Dev ID,AI Interview completed date,Country,Job role,Resume Skills,AI vetted skills,AI Soft Skills Result,AI Coding test result,AI Proctoring score,Human Interview passed,Gender
4813,08/08/23 20:37,Null,Ruby on rails,Null,Ruby on Rails: Expert | Ruby: Expert,Good,Null,56,Null,Male
4822,08/08/23 23:03,Null,React Native + JS,Null,Javascript: Not experienced | React: Junior | React Native: Expert,Good,Null,100,TRUE,Male
6323,08/09/23 1:31,Null,CUSTOM,Null,Agile Methodologies: Senior | Customer management: Senior | Leadership: Senior,Good,Null,100,TRUE,Male
6340,08/09/23 8:47,Romania (România),Null,Null,React: Junior | Javascript: Mid-level | React Native: Senior,Good,Null,99,Null,Male
12742,08/11/23 16:02,Finland,Null,Null,Python: Mid-level | Golang: Mid-level | Backend Development: Junior,Below average,Junior,100,TRUE,Male
13864,08/12/23 14:06,Null,CUSTOM,Null,React.Js: Junior | Javascript: Junior | React.Native: Mid-level,Below Average,Null,Null,Null,Male
3501,09/07/23 7:08,India .,Null,Null,Python: 8/10 | MySQL: 8/10 | Microservices: 7/10,07-Oct,Null,100,TRUE,Male
3505,09/07/23 16:11,India .,Null,Null,Python: 9/10 | Reactjs: 8/10 | AWS: 8/10,09-Oct,Null,Null,TRUE,Male
4826,09/08/23 2:01,Null,Full Stack Developer,Null,React.js: Mid-level | .Net: Junior | Javascript: Not experienced,Below average,Null,99,Null,Male
4909,09/08/23 13:50,Null,Ruby on rails,Null,Ruby on Rails: Mid-level | Ruby: Mid-level,Good,Null,100,TRUE,Male
4818,09/08/23 15:08,Null,React + React Native,Null,React: Mid-level | React Native: Mid-level,Average,Null,65,TRUE,Male
4923,09/08/23 17:16,Null,"Sr Fullstack (React, Typescript, Node)",Null,Node: Mid-level | Typescript : Junior | React: Mid-level,Good,Null,62,Null,Male
1449,10/06/23 10:16,Nigeria,Null,Null,Laravel: 7/10 | Vue.JS: 2/10 | Node.JS: 2/10,Null,Null,100,Null,Male
1482,10/06/23 22:03,Colombia,Null,Null,.net core: 6/10 | sql: 7/10 | microservices: 8/10,09-Oct,Null,62,TRUE,Male
3526,10/07/23 13:31,India .,Null,Null,Python: 3/10 | Machine Learning: 4/10 | React: 6/10,Null,Null,Null,Null,Male
3532,10/07/23 16:03,Pakistan,Null,Null,Python: 7/10 | NLP: 8/10 | LangChain: 6/10,08-Oct,Null,Null,TRUE,Male
4960,10/08/23 10:42,Null,Null,Null,Smart contracts: Expert | Solidity: Expert | Blockchain: Expert,Good,Null,99,TRUE,Male
4975,10/08/23 17:02,Null,React + React Native,Null,React: Mid-level | React Native: Mid-level,Good,Null,84,TRUE,Male
6413,10/09/23 11:39,Null,CUSTOM,Null,Ruby on Rails: Senior | Blockchain: Mid-level | Solidity: Mid-level | Cryptography in blockchain: Senior | Web3: Mid-level,Below average,Null,85,Null,Male
9861,10/10/23 1:59,United States,Null,Null,Machine Learning: Mid-level | Deep Learning: Not experienced,Good,Null,100,TRUE,Not determined
9885,10/10/23 12:57,India,Null,Null,ios : Mid-level | swift: Junior | swiftui: Mid-level,Below average,Null,Null,TRUE,Male
12859,10/11/23 1:30,United States,Null,Null,React : Junior | Node JS: Junior | Java: Junior,Above Average,Mid-level,98,Null,Male
4993,11/08/23 4:43,Null,React Native + Mern,Null,React Native: Not experienced | MERN: Not experienced,Below average,Null,100,Null,Male
4995,11/08/23 8:12,Null,Sr JS + Python + Electron,Null,React: Mid-level | Typescript: Junior | Node: Mid-level | Python: Junior | Electron: Mid-level,Excellent,Null,100,Null,Male
4999,11/08/23 9:59,Null,Senior full-stack JS,Null,React: Not experienced | Typescript: Junior | Node: Mid-level,Average,Null,100,TRUE,Male
5005,11/08/23 13:18,Null,RN + TS,Null,React Native: Mid-level | leadership: Mid-level | Typescript: Not experienced,Good,Null,99,TRUE,Female
5008,11/08/23 14:30,Null,Sr full-stack JS,Null,React: Expert | Typescript: Mid-level | Node: Expert,Good,Null,100,TRUE,Not determined
5013,11/08/23 16:53,Null,RN,Null,React Native: Expert | AWS: Mid-level | PHP: Mid-level,Average,Null,100,TRUE,Male
5021,11/08/23 18:49,Null,Founding Engineer - chromium,Null,Chromium: Mid-level | C++: Mid-level | Python: Mid-level,Good,Null,100,TRUE,Male
5023,11/08/23 19:23,Mexico,Null,Null,Linux: Junior,Good,Null,100,TRUE,Male
5025,11/08/23 19:53,Null,JS + RN,Null,React: Expert | React Native: Mid-level | Node: Mid-level | Typescript: Expert,Good,Null,100,TRUE,Male
5027,11/08/23 21:29,Null,Founding Engineer - Js,Null,Python: Junior | Chromium: Junior | Javascript: Mid-level,Below average,Null,88,Null,Male
9970,11/10/23 9:41,Serbia (Србија),Null,Null,JavaScript: Not experienced | React: Mid-level | Node.js: Not experienced,Below average,Null,100,Null,Male
12931,11/11/23 1:17,Chile,Null,Null,Ruby on rails: Mid-level | technical writing: Mid-level | Python: Mid-level,Good,Senior,100,TRUE,Female
13880,11/12/23 18:56,Brazil (Brasil),Null,Null,Data Analytics: Mid-level | Business Intelligence: Senior | SQL: Mid-level,Average,Not experienced,Null,TRUE,Male
1583,12/06/23 11:47,Nigeria,Null,Null,Ruby: 8/10 | PostgreSQL: 7/10 | SQL: 6/10,09-Oct,Null,79,TRUE,Not determined
3283,12/07/23 12:06,India,Null,Null,React JS: 6/10,06-Oct,Null,100,TRUE,Male
5035,12/08/23 2:23,Null,Sr React Native and JS,Null,React Native: Expert | Firebase: Mid-level | Node.js: Mid-level,Good,Null,98,TRUE,Male
844,12/08/23 11:11,India .,Null,Null,React: Expert | Javascript: Expert | Typescript: Mid-level,Good,Null,Null,TRUE,Not determined
5065,12/08/23 12:35,Pakistan,Null,Null,Symfony: Mid-level | Doctrine: Junior | PHP: Junior,Below average,Null,Null,Null,Male
5068,12/08/23 13:33,Null,Sr fullstac + RN,Null,React: Expert | Typescript: Expert | Node: Senior | React Native: Expert,Good,Null,100,TRUE,Male
6475,12/09/23 10:24,Null,Null,Null,React: Senior | Javascript: Mid-level | Node.js: Mid-level,Good,Null,96,TRUE,Male
6477,12/09/23 10:33,Null,Null,Null,Symfony: Mid-level | PHP: Senior | Git: Mid-level,Below average,Null,100,TRUE,Not determined
6499,12/09/23 19:13,Canada,Null,Null,.NET: Mid-level | Vue.js: Mid-level | Javascript: Mid-level,Good,Null,99,TRUE,Male
6272,12/09/23 19:19,Null,CUSTOM,Null,Node: Mid-level | React Native: Senior | React: Mid-level,Excellent,Null,58,Null,Male
6502,12/09/23 20:04,Null,CUSTOM,Null,React Native: Senior | Mobile development: Senior,Average,Null,100,TRUE,Male
12974,12/11/23 3:51,United States,Null,Null,react: Mid-level | swiftui: Mid-level | goa microservices: Junior,Below average,Null,Null,Null,Male
15718,01/01/24 20:01,Brazil,Null,Null,Inbound sales: Mid-level | Outbound sales: Senior | B2B SaaS: Senior | Contract negotition: Senior,Good,Null,100,Null,Male
20826,01/02/24 3:57,Canada,Null,Null,Data Structure and Algorithms: Mid-level | Python: Senior | Django: Senior,Good,Mid-level,91,TRUE,Male
20835,01/02/24 4:32,India,Null,Null,Java: Junior | SpringBoot: Mid-level | Data Structures and Algorithms: Junior,Below Average,Mid-level,Null,TRUE,Male
20855,01/02/24 5:19,Canada,Null,Null,java: Not experienced | docker: Not experienced | c++: Not experienced,Not Experienced,Mid-level,23,Null,Male
20862,01/02/24 5:28,India,Null,Null,Next JS: Mid-level,Good,Null,100,TRUE,Male
20864,01/02/24 5:36,India,Null,Null,DSA: Mid-level,Average,Null,100,TRUE,Male
20876,01/02/24 6:48,India,Null,Null,SQL Server: Mid-level | Entity Framework: Mid-level,Average,Null,43,TRUE,Male
20878,01/02/24 7:22,India,Null,Null,React: Senior | Javascript: Mid-level | NodeJS: Mid-level | HTML: Mid-level | CSS: Senior,Good,Mid-level,100,TRUE,Male
20907,01/02/24 13:28,India,Null,Null,asp .net: Junior | SQL: Junior | MVC: Mid-level,Good,Not experienced,100,Null,Female
20968,01/02/24 16:47,India,Null,Null,React: Mid-level | Javascript: Senior | css: Mid-level,Good,Mid-level,90,TRUE,Female
20965,01/02/24 16:59,Brazil,Null,Null,Python: Mid-level | C#: Junior | Data structure & algorithm: Junior,Average,Mid-level,Null,TRUE,Male
20976,01/02/24 17:55,India .,Null,Null,React.js: Mid-level | Node.js: Senior | JavaScript: Senior,Good,Senior,100,TRUE,Male
20984,01/02/24 18:32,Canada,Null,Null,Python: Senior | SQL: Mid-level | Data Structure and Algorithm (DSA): Mid-level,Good,Senior,98,TRUE,Male
26985,01/03/24 1:06,Null,Null,Null,PHP: Mid-level | C#: Junior | JavaScript: Mid-level | Python: Junior,Average,Mid-level,100,TRUE,Male
26986,01/03/24 1:20,Brazil,Null,Null,python: Mid-level | django: Mid-level | sql: Mid-level | project management: Senior | communication: Mid-level,Good,Mid-level,99,TRUE,Male
26995,01/03/24 2:11,Brazil,Null,Null,React: Mid-level | Next.js: Mid-level | Typescript: Junior,Average,Mid-level,100,TRUE,male
27007,01/03/24 3:10,Brazil,Null,Null,Python: Junior | Django: Mid-level | SQL: Mid-level | Scrum: Mid-level | Communication: Senior,Good,Mid-level,Null,Null,Male
27014,01/03/24 3:13,New Zealand,Null,Null,UX/UI Design: Senior | Design research : Mid-level | Design leadership: Senior,Good,Null,Null,Null,Male
27055,01/03/24 6:38,India,Null,Null,Java (SpringBoot): Mid-level | Mysql : Mid-level | DSA: Mid-level | MongoDB: Senior,Average,Junior,77,TRUE,Male
27053,01/03/24 6:40,India .,Null,Null,wireframe: Mid-level | prototype: Mid-level | usability testing: Mid-level,Average,Null,Null,Null,Male
27067,01/03/24 7:07,India,Null,Null,Machine learning: Junior | Python: Junior | Statistics: Mid-level,Below Average,Mid-level,Null,TRUE,Not determined
27063,01/03/24 7:16,India,Null,Null,Python: Senior | Mysql: Senior | Pytest: Senior,Good,Senior,100,TRUE,Male
27075,01/03/24 8:39,Null,CUSTOM,Null,R: Mid-level | DSA: Not experienced | SQL: Junior,Average,Mid-level,100,Null,Male
27079,01/03/24 8:52,Null,Data Science,Null,Python : Junior | Data Science : Mid-level | Data Structure and algorithms : Junior,Average,Junior,93,Null,Male
27078,01/03/24 9:06,India,Null,Null,Python: Senior | SQL: Mid-level | Generative AI: Senior | AI/ML: Senior | DS: Senior,Good,Senior,99,TRUE,Female
27091,01/03/24 9:31,India,Null,Null,Python: Senior | Java: Senior | DSA: Mid-level,Good,Senior,86,TRUE,Male
27100,01/03/24 10:07,India,Null,Null,C++: Mid-level | C: Junior | EMBEDDED C: Mid-level,Average,Mid-level,100,Null,Female
27108,01/03/24 10:27,India .,Null,Null,Java: Senior | Spring Boot: Senior | DSA: Senior,Good,Mid-level,100,TRUE,Male
27115,01/03/24 11:06,India,Null,Null,Python: Junior | Machine learning: Mid-level | Deep learning: Mid-level,Average,Mid-level,95,TRUE,Male
27117,01/03/24 11:21,India,Null,Null,React js: Junior | JavaScript: Mid-level | TypeScript: Mid-level,Below Average,Mid-level,100,TRUE,Male
27131,01/03/24 12:05,Null,Data Science,Null,Python : Senior | Data Science : Senior | Data Structure and algorithms : Senior,Good,Junior,98,Null,Male
27135,01/03/24 12:24,India,Null,Null,Python: Senior | Java: Mid-level | BigQuery: Senior,Average,Senior,24,Null,Female
27142,01/03/24 12:29,Null,Null,Null,Data Stuctures and algorithms: Not experienced | C#: Not experienced,Not Experienced,Null,Null,Null,Female
27148,01/03/24 13:25,Null,QA-1,Null,Automation Testing: Junior | Manual Testing: Mid-level | Mobile Application Testing: Junior | UI/UX Test Automation: Mid-level,Below Average,Null,100,Null,Male
27166,01/03/24 14:59,Null,Data Science,Null,Python : Junior | Data Science : Mid-level | Data Structure and algorithms : Not experienced,Average,Not experienced,83,Null,Male
27165,01/03/24 15:07,Null,Data Science,Null,Python : Junior | Data Science : Mid-level | Data Structure and algorithms : Junior,Below Average,Junior,100,Null,Male
27181,01/03/24 15:59,Null,Data Science,Null,Python : Junior | Data Science : Junior | Data Structure and algorithms : Junior,Below Average,Mid-level,79,Null,Male
27185,01/03/24 16:07,Null,Data Science,Null,Python : Senior | Data Science : Senior | Data Structure and algorithms : Mid-level,Good,Mid-level,99,TRUE,Male
27188,01/03/24 16:13,Canada,Null,Null,React: Mid-level | Node.js: Mid-level | Project Management : Junior,Average,Junior,87,Null,Male
27167,01/03/24 16:20,India,Null,Null,Node js: Senior | Data Structures: Mid-level | Algorithms: Mid-level | C++: Mid-level | Typescript: Mid-level,Good,Mid-level,100,TRUE,Male
27191,01/03/24 16:29,Null,Data Science,Null,Python : Junior | Data Science : Junior | Data Structure and algorithms : Mid-level,Average,Not experienced,88,Null,Male
27199,01/03/24 17:16,India,Null,Null,Python: Junior | System Design: Mid-level | AWS: Mid-level | Data Structures: Mid-level,Good,Junior,100,TRUE,Male
27208,01/03/24 17:51,Null,"DSA,Python,SQL",Null,DSA: Mid-level | Python: Mid-level | SQL: Senior,Good,Senior,21,Null,Female
27211,01/03/24 18:06,Colombia,Null,Null,SQL Development: Mid-level | Business Intelligence Reporting: Mid-level | Object Oriented Programming: Not experienced,Below Average,Not Experienced,83,Null,Male
27214,01/03/24 18:08,Null,Null,Null,python: Mid-level | reactjs: Mid-level | javascript: Mid-level,Good,Mid-level,100,TRUE,Male
27230,01/03/24 18:54,Canada,Null,Null,nodejs: Mid-level | aws: Mid-level | python: Mid-level,Good,Senior,Null,Null,Female
27224,01/03/24 18:54,Null,CUSTOM,Null,Data Science: Junior | Data Structures and algorithms: Junior | Python: Not experienced | Tableau: Not experienced,Below Average,Not experienced,100,Null,Male
